chr	start	end	ATAC
chr17	60000	60200	U
chr17	60200	60400	U
chr17	61200	61400	U
chr17	61400	61600	U
chr17	61600	61800	U
chr17	61800	62000	U
chr17	62000	62200	U
chr17	62200	62400	U
chr17	62400	62600	U
chr17	62600	62800	U
chr17	63600	63800	U
chr17	63800	64000	U
chr17	64000	64200	U
chr17	64400	64600	U
chr17	64600	64800	U
chr17	64800	65000	U
chr17	65000	65200	U
chr17	65200	65400	U
chr17	66200	66400	U
chr17	68200	68400	U
chr17	68400	68600	U
chr17	69600	69800	U
chr17	71600	71800	U
chr17	71800	72000	U
chr17	73000	73200	U
chr17	75400	75600	U
chr17	75800	76000	U
chr17	76800	77000	U
chr17	78200	78400	U
chr17	79400	79600	U
chr17	88600	88800	U
chr17	91400	91600	U
chr17	92600	92800	U
chr17	92800	93000	U
chr17	93000	93200	U
chr17	93200	93400	U
chr17	93400	93600	U
chr17	93600	93800	U
chr17	93800	94000	U
chr17	94000	94200	U
chr17	95800	96000	U
chr17	96000	96200	U
chr17	96200	96400	U
chr17	96400	96600	U
chr17	96600	96800	U
chr17	97800	98000	U
chr17	98400	98600	U
chr17	98600	98800	U
chr17	98800	99000	U
chr17	99600	99800	U
chr17	99800	100000	U
chr17	101000	101200	U
chr17	101200	101400	U
chr17	103200	103400	U
chr17	103400	103600	U
chr17	103600	103800	U
chr17	104400	104600	U
chr17	104600	104800	U
chr17	104800	105000	U
chr17	105200	105400	U
chr17	106000	106200	U
chr17	106200	106400	U
chr17	106400	106600	U
chr17	106600	106800	U
chr17	106800	107000	U
chr17	107000	107200	U
chr17	109600	109800	U
chr17	109800	110000	U
chr17	110000	110200	U
chr17	110200	110400	U
chr17	110400	110600	U
chr17	110600	110800	U
chr17	110800	111000	U
chr17	111000	111200	U
chr17	112400	112600	U
chr17	118200	118400	U
chr17	118400	118600	U
chr17	130400	130600	U
chr17	136600	136800	B
chr17	136800	137000	B
chr17	137000	137200	U
chr17	137200	137400	U
chr17	137400	137600	U
chr17	138000	138200	U
chr17	138200	138400	U
chr17	138800	139000	U
chr17	140200	140400	U
chr17	142200	142400	U
chr17	142800	143000	U
chr17	143800	144000	B
chr17	145000	145200	U
chr17	145600	145800	U
chr17	146000	146200	U
chr17	146200	146400	U
chr17	147000	147200	U
chr17	147200	147400	U
chr17	147400	147600	U
chr17	148000	148200	U
chr17	148200	148400	U
chr17	148600	148800	U
chr17	148800	149000	U
chr17	149000	149200	U
chr17	149200	149400	U
chr17	151600	151800	U
chr17	151800	152000	U
chr17	152200	152400	U
chr17	152800	153000	U
chr17	153000	153200	U
chr17	153200	153400	U
