chr	start	end	ATAC	CTCF	REST	EP300
chr19	60000	60200	U	U	U	U
chr19	60200	60400	U	U	U	U
chr19	61200	61400	U	U	U	U
chr19	62600	62800	U	U	U	U
chr19	62800	63000	U	U	U	U
chr19	63000	63200	U	U	U	U
chr19	63200	63400	U	U	U	U
chr19	63800	64000	U	U	U	U
chr19	64000	64200	U	U	U	U
chr19	64200	64400	U	U	U	U
chr19	64400	64600	U	U	U	U
chr19	65000	65200	U	U	U	U
chr19	65200	65400	U	U	U	U
chr19	66200	66400	U	U	U	U
chr19	66400	66600	U	U	U	U
chr19	66600	66800	U	U	U	U
chr19	66800	67000	U	U	U	U
chr19	67000	67200	U	U	U	U
chr19	67200	67400	U	U	U	U
chr19	67400	67600	U	U	U	U
chr19	67600	67800	U	U	U	U
chr19	69200	69400	U	U	U	U
chr19	70000	70200	U	U	U	U
chr19	70200	70400	U	U	U	U
chr19	70400	70600	U	U	U	U
chr19	70600	70800	U	U	U	U
chr19	70800	71000	U	U	U	U
chr19	71000	71200	U	U	U	U
chr19	73400	73600	U	U	U	U
chr19	73600	73800	U	U	U	U
chr19	73800	74000	U	U	U	U
chr19	74000	74200	U	U	U	U
chr19	74200	74400	U	U	U	U
chr19	75800	76000	U	U	U	U
chr19	76600	76800	U	U	U	U
chr19	77200	77400	U	U	U	U
chr19	77400	77600	U	U	U	U
chr19	77600	77800	U	U	U	U
chr19	77800	78000	U	U	U	U
chr19	78000	78200	U	U	U	U
chr19	78200	78400	U	U	U	U
chr19	78400	78600	U	U	U	U
chr19	82600	82800	U	U	U	U
chr19	82800	83000	U	U	U	U
chr19	84200	84400	U	U	U	U
chr19	84400	84600	U	U	U	U
chr19	84600	84800	U	U	U	U
chr19	88800	89000	U	U	U	U
chr19	89000	89200	U	U	U	U
chr19	89200	89400	U	U	U	U
chr19	89400	89600	U	U	U	U
chr19	89600	89800	U	U	U	U
chr19	89800	90000	U	U	U	U
chr19	91200	91400	U	U	U	U
chr19	91600	91800	U	U	U	U
chr19	91800	92000	U	U	U	U
chr19	92400	92600	U	U	U	U
chr19	92600	92800	U	U	U	U
chr19	92800	93000	U	U	U	U
chr19	94000	94200	U	U	U	U
chr19	94200	94400	U	U	U	U
chr19	94400	94600	U	U	U	U
chr19	94600	94800	U	U	U	U
chr19	94800	95000	U	U	U	U
chr19	95000	95200	U	U	U	U
chr19	95400	95600	U	U	U	U
chr19	95600	95800	U	U	U	U
chr19	95800	96000	U	U	U	U
chr19	97000	97200	U	U	U	U
chr19	97200	97400	U	U	U	U
chr19	97400	97600	U	U	U	U
chr19	97600	97800	U	U	U	U
chr19	97800	98000	U	U	U	U
chr19	98000	98200	U	U	U	U
chr19	98200	98400	U	U	U	U
chr19	98400	98600	U	U	U	U
chr19	98600	98800	U	U	U	U
chr19	98800	99000	U	U	U	U
chr19	99000	99200	U	U	U	U
chr19	99200	99400	U	U	U	U
chr19	99400	99600	U	U	U	U
chr19	99600	99800	U	U	U	U
chr19	99800	100000	U	U	U	U
chr19	100000	100200	U	U	U	U
chr19	100200	100400	U	U	U	U
chr19	100400	100600	U	U	U	U
chr19	100800	101000	U	U	U	U
chr19	101000	101200	U	U	U	U
chr19	101200	101400	U	U	U	U
chr19	101600	101800	U	U	U	U
chr19	102400	102600	U	U	U	U
chr19	102600	102800	U	U	U	U
chr19	102800	103000	U	U	U	U
chr19	103000	103200	U	U	U	U
chr19	104000	104200	U	U	U	U
chr19	104200	104400	U	U	U	U
chr19	104400	104600	U	U	U	U
chr19	104600	104800	U	U	U	U
chr19	104800	105000	U	U	U	U
chr19	105000	105200	U	U	U	U
chr19	105200	105400	U	U	U	U
chr19	105400	105600	U	U	U	U
chr19	105600	105800	U	U	U	U
chr19	105800	106000	U	U	U	U
chr19	106400	106600	U	U	U	U
chr19	106600	106800	U	U	U	U
chr19	106800	107000	U	U	U	U
chr19	107000	107200	U	U	U	U
chr19	107200	107400	U	U	U	U
chr19	108400	108600	U	U	U	U
chr19	108600	108800	U	U	U	U
chr19	108800	109000	U	U	U	U
chr19	109000	109200	U	U	U	U
chr19	109200	109400	U	U	U	U
chr19	110000	110200	U	U	U	U
chr19	110200	110400	B	U	U	U
chr19	110400	110600	B	U	U	U
chr19	110600	110800	B	U	U	U
chr19	110800	111000	B	U	U	U
chr19	111000	111200	B	U	U	U
chr19	111200	111400	B	U	U	U
chr19	111400	111600	B	U	U	U
chr19	111600	111800	U	U	U	U
chr19	111800	112000	U	U	U	U
chr19	112600	112800	U	U	U	U
chr19	129000	129200	U	U	U	U
chr19	129200	129400	U	U	U	U
chr19	129600	129800	U	U	U	U
chr19	129800	130000	U	U	U	U
chr19	130000	130200	U	U	U	U
chr19	130200	130400	U	U	U	U
chr19	141400	141600	U	U	U	U
chr19	145400	145600	U	U	U	U
chr19	145600	145800	U	U	U	U
chr19	145800	146000	U	U	U	U
chr19	146000	146200	U	U	U	U
chr19	146200	146400	U	U	U	U
chr19	153000	153200	U	U	U	U
chr19	153400	153600	U	U	U	U
chr19	155200	155400	U	U	U	U
chr19	156200	156400	U	U	U	U
chr19	156400	156600	U	U	U	U
chr19	156600	156800	U	U	U	U
chr19	156800	157000	U	U	U	U
chr19	157000	157200	U	U	U	U
chr19	157200	157400	U	U	U	U
chr19	157400	157600	U	U	U	U
chr19	157600	157800	U	U	U	U
chr19	157800	158000	U	U	U	U
chr19	158000	158200	U	U	U	U
chr19	158200	158400	U	U	U	U
chr19	158400	158600	U	U	U	U
chr19	158600	158800	U	U	U	U
chr19	158800	159000	U	U	U	U
chr19	159200	159400	U	U	U	U
chr19	159400	159600	U	U	U	U
chr19	159600	159800	U	U	U	U
chr19	159800	160000	U	U	U	U
chr19	160000	160200	U	U	U	U
chr19	160200	160400	U	U	U	U
chr19	160800	161000	U	U	U	U
chr19	161800	162000	U	U	U	U
chr19	162000	162200	U	U	U	U
chr19	162200	162400	U	U	U	U
chr19	162400	162600	U	U	U	U
chr19	162800	163000	U	U	U	U
chr19	163000	163200	U	U	U	U
chr19	163600	163800	U	U	U	U
chr19	164400	164600	U	U	U	U
chr19	164600	164800	U	U	U	U
chr19	164800	165000	U	U	U	U
chr19	165000	165200	U	U	U	U
chr19	165200	165400	U	U	U	U
chr19	165800	166000	U	U	U	U
chr19	166000	166200	U	U	U	U
chr19	166200	166400	U	U	U	U
chr19	166400	166600	U	U	U	U
chr19	173400	173600	U	U	U	U
chr19	174600	174800	U	U	U	U
chr19	174800	175000	U	U	U	U
chr19	175000	175200	U	U	U	U
chr19	175200	175400	U	U	U	U
chr19	176600	176800	U	U	U	U
chr19	180000	180200	U	U	U	U
chr19	181000	181200	U	U	U	U
chr19	181800	182000	U	U	U	U
chr19	182000	182200	U	U	U	U
chr19	182200	182400	U	U	U	U
chr19	182400	182600	U	U	U	U
chr19	182600	182800	U	U	U	U
chr19	184000	184200	U	U	U	U
chr19	184200	184400	U	U	U	U
chr19	184400	184600	U	U	U	U
chr19	184600	184800	U	U	U	U
chr19	184800	185000	U	U	U	U
chr19	185000	185200	U	U	U	U
chr19	187000	187200	U	U	U	U
chr19	187200	187400	U	U	U	U
chr19	187400	187600	U	U	U	U
chr19	187600	187800	U	U	U	U
chr19	189200	189400	U	U	U	U
chr19	189400	189600	U	U	U	U
chr19	190200	190400	U	U	U	U
chr19	190400	190600	U	U	U	U
chr19	191200	191400	U	U	U	U
chr19	193200	193400	U	U	U	U
chr19	193400	193600	U	U	U	U
chr19	193600	193800	U	U	U	U
chr19	193800	194000	U	U	U	U
chr19	194000	194200	U	U	U	U
chr19	194200	194400	U	U	U	U
chr19	194400	194600	U	U	U	U
chr19	194600	194800	U	U	U	U
chr19	194800	195000	U	U	U	U
chr19	195000	195200	U	U	U	U
chr19	195200	195400	U	U	U	U
chr19	195400	195600	U	U	U	U
chr19	195600	195800	U	U	U	U
chr19	196600	196800	U	U	U	U
chr19	196800	197000	U	U	U	U
chr19	197000	197200	U	U	U	U
chr19	197200	197400	U	U	U	U
chr19	197400	197600	U	U	U	U
chr19	197600	197800	U	U	U	U
chr19	197800	198000	U	U	U	U
chr19	198000	198200	U	U	U	U
chr19	200800	201000	U	U	U	U
chr19	201000	201200	U	U	U	U
chr19	204200	204400	U	U	U	U
chr19	204400	204600	U	U	U	U
chr19	210800	211000	U	U	U	U
chr19	221000	221200	U	U	U	U
chr19	222000	222200	U	U	U	U
chr19	223800	224000	U	U	U	U
chr19	225000	225200	U	U	U	U
chr19	225200	225400	U	U	U	U
chr19	225400	225600	U	U	U	U
chr19	225600	225800	U	U	U	U
chr19	225800	226000	U	U	U	U
chr19	226000	226200	U	U	U	U
chr19	226200	226400	U	U	U	U
chr19	226400	226600	U	U	U	U
chr19	227200	227400	U	U	U	U
chr19	228200	228400	U	U	U	U
chr19	228400	228600	U	U	U	U
chr19	228600	228800	U	U	U	U
chr19	228800	229000	U	U	U	U
chr19	229000	229200	U	U	U	U
chr19	230800	231000	U	U	U	U
chr19	231000	231200	U	U	U	U
chr19	231200	231400	U	U	U	U
chr19	232000	232200	U	U	U	U
chr19	232200	232400	U	U	U	U
chr19	233200	233400	U	U	U	U
chr19	233400	233600	U	U	U	U
chr19	233600	233800	U	U	U	U
chr19	235600	235800	U	U	U	U
chr19	235800	236000	U	U	U	U
chr19	236000	236200	U	U	U	U
chr19	236800	237000	U	U	U	U
chr19	237000	237200	U	U	U	U
chr19	237200	237400	U	U	U	U
chr19	237600	237800	U	U	U	U
chr19	238000	238200	U	U	U	U
chr19	238400	238600	U	U	U	U
chr19	238600	238800	U	U	U	U
chr19	238800	239000	U	U	U	U
chr19	239000	239200	U	U	U	U
chr19	239200	239400	U	U	U	U
chr19	239400	239600	U	U	U	U
chr19	242000	242200	U	U	U	U
chr19	242200	242400	U	U	U	U
chr19	242400	242600	U	U	U	U
chr19	242600	242800	U	U	U	U
chr19	242800	243000	U	U	U	U
chr19	243000	243200	U	U	U	U
chr19	243200	243400	U	U	U	U
chr19	243400	243600	U	U	U	U
chr19	244800	245000	U	U	U	U
chr19	256200	256400	U	U	U	U
chr19	256400	256600	U	U	U	U
chr19	256600	256800	U	U	U	U
chr19	257400	257600	U	U	U	U
chr19	257600	257800	U	U	U	U
chr19	257800	258000	U	U	U	U
chr19	259000	259200	U	U	U	U
chr19	265800	266000	U	U	U	U
chr19	266000	266200	U	U	U	U
chr19	266200	266400	U	U	U	U
chr19	266400	266600	U	U	U	U
chr19	266600	266800	B	U	U	U
chr19	266800	267000	B	U	U	U
chr19	267000	267200	B	U	U	U
chr19	267400	267600	B	B	B	U
chr19	275200	275400	U	U	U	U
chr19	275400	275600	U	U	U	U
chr19	275600	275800	U	U	U	U
chr19	275800	276000	U	U	U	U
chr19	277200	277400	U	U	U	U
chr19	277400	277600	U	U	B	U
chr19	277600	277800	U	U	B	U
chr19	277800	278000	U	U	B	U
chr19	279200	279400	U	U	U	U
chr19	279400	279600	U	U	U	U
chr19	279600	279800	U	U	U	U
chr19	279800	280000	U	U	U	U
chr19	280000	280200	U	U	U	U
chr19	280200	280400	U	U	U	U
chr19	281000	281200	B	U	U	U
chr19	281200	281400	U	U	U	U
chr19	281400	281600	U	U	U	U
chr19	281600	281800	U	U	U	U
chr19	282800	283000	U	U	U	U
chr19	283000	283200	U	U	U	U
chr19	287400	287600	U	U	U	U
chr19	287600	287800	U	U	U	U
chr19	287800	288000	U	U	U	U
chr19	288000	288200	U	U	U	U
chr19	288200	288400	U	U	U	U
chr19	288600	288800	U	U	U	U
chr19	289000	289200	U	U	U	U
chr19	289200	289400	U	U	U	U
chr19	289800	290000	U	U	U	U
chr19	290000	290200	B	U	U	U
chr19	290400	290600	U	U	U	U
chr19	290600	290800	U	U	U	U
chr19	290800	291000	U	U	U	U
chr19	291000	291200	U	U	U	U
chr19	291200	291400	U	U	U	U
chr19	291800	292000	U	U	U	U
chr19	292000	292200	U	U	U	U
chr19	292200	292400	U	U	U	U
chr19	292600	292800	U	U	U	U
chr19	292800	293000	U	U	U	U
chr19	293400	293600	U	U	U	U
chr19	293600	293800	U	U	U	U
chr19	294200	294400	U	U	U	U
chr19	294400	294600	B	U	U	U
